"stopno","name","lat","long"
"11035",NA,51.093014,17.03015
"26336",NA,51.061005,17.027283
"25008",NA,51.08536,17.071714
"23702",NA,51.13432,17.058943
"24520",NA,51.10492,17.104456
"121026",NA,51.077587,17.051514
"20665",NA,51.123867,17.041924
"21174",NA,51.08318,17.047937
"121004",NA,51.09406,17.0338
"29528",NA,51.150578,17.108889
"11543",NA,51.0815,17.000057
"12901",NA,51.12232,16.955828
"120626",NA,51.12142,17.04337
"23506",NA,51.165794,16.998726
"10402",NA,51.11183,17.021145
"26103",NA,51.058693,17.056616
"25142",NA,51.076725,17.088737
"10548",NA,51.112495,17.001225
"21015",NA,51.08309,17.055004
"723965",NA,51.03822,16.975185
"23512",NA,51.179382,16.9873885
"11312",NA,51.074383,17.006811
"12612",NA,51.139816,16.960236
"11319",NA,51.09973,17.025433
"20812",NA,51.113075,17.050013
"716101",NA,51.01722,16.880835
"24314",NA,51.113495,17.09079
"23121",NA,51.13643,17.036552
"18531",NA,51.146152,16.944592
"20826",NA,51.11272,17.064198
"24515",NA,51.106525,17.105364
"120815",NA,51.111504,17.060638
"11453",NA,51.089684,16.999973
"24013",NA,51.129654,17.098486
"10008",NA,51.106945,17.033377
"24322",NA,51.11406,17.10378
"25003",NA,51.090492,17.064169
"26334",NA,51.05781,17.023176
"24104",NA,51.13772,17.073137
"18385",NA,51.14477,16.871454
"21134",NA,51.077026,17.045662
"23122",NA,51.134808,17.036585
"23144",NA,51.13645,17.031052
"25505",NA,51.09229,17.093678
"10501",NA,51.112274,17.020372
"24407",NA,51.104374,17.08482
"17734",NA,51.11392,16.845215
"12902",NA,51.121468,16.95824
"10272",NA,51.10466,17.02188
"20923",NA,51.112267,17.063606
"11329",NA,51.095768,17.032248
"723953",NA,51.04876,17.000055
"26343",NA,51.051674,17.018787
"12156",NA,51.114174,16.968798
"11001",NA,51.09587,17.032745
"11373",NA,51.08304,17.023895
"21158",NA,51.07742,17.062094
"21026",NA,51.077595,17.051523
"24214",NA,51.113976,17.103321
"25515",NA,51.100445,17.068575
"23301",NA,51.137894,16.993002
"10525",NA,51.119263,17.01491
"10512",NA,51.115555,17.01441
"11724",NA,51.092415,16.986414
"21155",NA,51.078186,17.070946
"10101",NA,51.10749,17.032265
"16509",NA,51.0521875,16.976175
"111401",NA,51.10106,17.00747
"25115",NA,51.072693,17.08929
"24304",NA,51.12034,17.077316
"12307",NA,51.121674,16.994617
"11512",NA,51.094273,17.0111705
"12906",NA,51.123528,16.951283
"23011",NA,51.134335,17.037073
"12711",NA,51.13258,16.97411
"11036",NA,51.09437,17.030838
"17504",NA,51.10954,16.931244
"80362012",NA,51.103027,16.831314
"17104",NA,51.077755,16.964016
"11310",NA,51.07496,17.00653
"17136",NA,51.07625,16.97414
"723961",NA,51.039055,16.971256
"24414",NA,51.10224,17.101976
"24521",NA,51.109974,17.1084
"50000059",NA,51.080143,17.144812
"11550",NA,51.077652,16.985441
"110602",NA,51.116875,17.031479
"24113",NA,51.13186,17.0812445
"12202",NA,51.12121,16.993952
"25009",NA,51.081917,17.077127
"18146",NA,51.138927,16.893705
"23015",NA,51.14132,17.032072
"120814",NA,51.112316,17.05734
"12153",NA,51.104973,16.970904
"21124",NA,51.092022,17.043518
"11603",NA,51.096012,16.985916
"24204",NA,51.116013,17.079609
"24116",NA,51.131832,17.080984
"10602",NA,51.113945,17.030796
"12605",NA,51.136932,16.966623
"18703",NA,51.16099,16.905123
"17530",NA,51.109417,16.882608
"24525",NA,51.103016,17.096396
"24422",NA,51.108232,17.071148
"20200",NA,51.107548,17.045984
"10051",NA,51.10517,17.03661
"120854",NA,51.11572,17.060698
"11511",NA,51.09453,17.010542
"21111",NA,51.091995,17.031092
"29539",NA,51.15458,17.118982
"11211",NA,51.083973,17.010405
"21027",NA,51.076862,17.050606
"11238",NA,51.077126,17.018616
"20831",NA,51.115837,17.051102
"26114",NA,51.065155,17.064606
"23002",NA,51.13297,17.027702
"24010",NA,51.131565,17.079287
"11339",NA,51.099255,17.03343
"10108",NA,51.109135,17.026703
"11215",NA,51.07442,17.007132
"23149",NA,51.14823,17.02058
"12114",NA,51.114426,16.972986
"23316",NA,51.150974,16.992607
"11652",NA,51.09033,16.993114
"11201",NA,51.09744,17.025095
"24206",NA,51.117,17.086245
"20282",NA,51.108284,17.047337
"10542",NA,51.10858,17.019424
"29115",NA,51.14822,17.117453
"18124",NA,51.14948,16.878946
"18132",NA,51.13822,16.934086
"11345",NA,51.09289,17.015701
"23312",NA,51.148075,16.988635
"12142",NA,51.119514,16.951483
"10365",NA,51.10058,17.028576
"120632",NA,51.12656,17.048089
"20370",NA,51.09721,17.0423565
"11316",NA,51.0746,17.006624
"11403",NA,51.09935,17.0001
"12505",NA,51.13644,16.950384
"18101",NA,51.138508,16.933683
"24138",NA,51.126614,17.115665
"17728",NA,51.123367,16.883196
"23155",NA,51.157967,17.009912
"23736",NA,51.138412,17.05786
"50000057",NA,51.0712,17.123995
"11406",NA,51.09862,16.996977
"24129",NA,51.140034,17.094361
"227911",NA,51.17417,17.048874
"25110",NA,51.089063,17.066224
"21179",NA,51.08308,17.036137
"17304",NA,51.099007,16.941473
"20265",NA,51.098507,17.042267
"11722",NA,51.09454,16.99203
"11523",NA,51.093426,17.003277
"18129",NA,51.1598,16.89371
"11405",NA,51.098373,16.995745
"24014",NA,51.130585,17.09534
"23503",NA,51.162445,17.002853
"16705",NA,51.064957,16.97602
"25516",NA,51.101078,17.067682
"11306",NA,51.083313,17.010311
"10333",NA,51.10382,17.0383
"11324",NA,51.099163,17.02162
"50000044",NA,51.05039,17.083338
"11332",NA,51.097965,17.029722
"21126",NA,51.092113,17.031155
"12606",NA,51.136482,16.967009
"24721",NA,51.110767,17.13688
"12507",NA,51.131832,16.962523
"20717",NA,51.12976,17.036774
"25301",NA,51.074905,17.076502
"17720",NA,51.12031,16.857533
"812903",NA,51.10604,16.8340635
"12125",NA,51.118626,16.954718
"11608",NA,51.0931,16.978067
"21150",NA,51.08049,17.06235
"26329",NA,51.06019,17.001842
"18525",NA,51.157345,16.949348
"17717",NA,51.120667,16.863544
"12708",NA,51.13983,16.959747
"10003",NA,51.1114,17.026587
"31731",NA,51.08758,16.974957
"18017",NA,51.13905,16.927803
"24125",NA,51.133953,17.102327
"18742",NA,51.174274,16.90835
"18001",NA,51.138134,16.933584
"18716",NA,51.18444,16.907316
"24009",NA,51.131687,17.08029
"26328",NA,51.064907,17.009818
"25518",NA,51.09232,17.132786
